timestamp,y_true,yhat,lo,hi,z_resid,flag_z,flag_cusum
2020-09-17T23:00:00Z,39419.0,40326.426147469385,35332.0730904247,45320.77920451407,-0.16326557988693594,0,0
2020-09-18T00:00:00Z,38096.0,38979.775526866586,33765.63462815609,44193.91642557708,-0.15754303728448685,0,0
2020-09-18T01:00:00Z,36142.0,36949.52236401082,31524.484973658546,42374.5597543631,-0.13862751992430186,0,0
2020-09-18T02:00:00Z,35438.0,36278.3149359093,30650.28077766724,41906.34909415136,-0.14687001068964112,0,0
2020-09-18T03:00:00Z,37095.0,37862.828172706235,32038.86745441907,43686.788890993404,-0.12885089234783637,0,0
2020-09-18T04:00:00Z,41769.0,41799.127027556344,35785.620309691425,47812.63374542126,0.05451611122447133,0,0
2020-09-18T05:00:00Z,45757.0,45174.92458605451,38977.666320552715,51372.18285155631,0.20674083703091903,0,0
2020-09-18T06:00:00Z,47742.0,47277.69753283154,40901.98142172811,53653.41364393497,0.1774694535718825,0,0
2020-09-18T07:00:00Z,49495.0,49204.43642593789,42655.12330854448,55753.7495433313,0.13430453469779793,0,0
2020-09-18T08:00:00Z,50482.0,50522.7544406712,43804.32839828922,57241.18048305319,0.05198902925007036,0,0
2020-09-18T09:00:00Z,51580.0,51934.627558004664,45051.24214428728,58818.01297172205,-0.025911482925237813,0,0
2020-09-18T10:00:00Z,52665.0,53388.69321261696,46344.21019531096,60433.17622992295,-0.11748799226655522,0,0
2020-09-18T11:00:00Z,51804.0,52635.82908967859,45433.85108180721,59837.80709754997,-0.14383657670171737,0,0
2020-09-18T12:00:00Z,51203.0,52086.50230787853,44730.400523445926,59442.604092311136,-0.15627610313865492,0,0
2020-09-18T13:00:00Z,49993.0,50143.742281134786,48525.66410900745,51761.82045326213,0.02601703128221669,0,0
2020-09-18T14:00:00Z,48277.0,48909.988875929186,46737.785591914,51082.192159944374,-0.09372932650972797,0,0
2020-09-18T15:00:00Z,47729.0,48204.871094660215,45551.45277701978,50858.28941230065,-0.0543579130497318,0,0
2020-09-18T16:00:00Z,47847.0,48686.371037809986,45642.79563554032,51729.94644007965,-0.14471172185292638,0,0
2020-09-18T17:00:00Z,48155.0,48930.61671646898,45535.06715946452,52326.16627347345,-0.1295714560048912,0,0
2020-09-18T18:00:00Z,47841.0,49665.56051693746,45953.84900999336,53377.27202388156,-0.39020468694188126,0,0
2020-09-18T19:00:00Z,45149.0,48153.07494475246,44149.027668163406,52157.12222134151,-0.6820471649814491,0,0
